department,contact_email,phone_number,description,hours,specialties,escalation_contact
"General Support","support@novabot.com","1-800-668-2268","General technical support and customer inquiries","Monday-Friday 9 AM - 6 PM EST","Account issues, basic troubleshooting, plan questions","priority@novabot.com"
"Sales","sales@novabot.com","1-800-668-SALE","New customer sales and plan consultations","Monday-Friday 8 AM - 8 PM EST","Plan selection, pricing, demos, enterprise sales","sales-manager@novabot.com"
"Billing and Accounts","billing@novabot.com","1-800-668-BILL","Billing inquiries, payment issues, and account management","Monday-Friday 9 AM - 5 PM EST","Invoices, payment methods, refunds, upgrades","accounting@novabot.com"
"Technical Integration","integrations@novabot.com","1-800-668-TECH","API support, webhooks, and third-party integrations","Monday-Friday 8 AM - 8 PM EST","API development, custom integrations, technical implementation","senior-engineer@novabot.com"
"Enterprise Solutions","enterprise@novabot.com","1-800-668-CORP","Enterprise sales, custom solutions, and dedicated support","Monday-Friday 8 AM - 7 PM EST","Large deployments, custom development, enterprise SLAs","vp-enterprise@novabot.com"
"Security and Compliance","security@novabot.com","1-800-668-SECURE","Security incidents, compliance questions, and data protection","24/7 for security incidents","HIPAA, GDPR, SOC 2, security audits, incident response","ciso@novabot.com"
"Product Development","product@novabot.com","N/A","Product feedback, feature requests, and beta programs","Monday-Friday 9 AM - 6 PM EST","Feature requests, product roadmap, beta testing","product-manager@novabot.com"
"Customer Success","success@novabot.com","1-800-668-GROW","Onboarding, training, and optimization consultation","Monday-Friday 9 AM - 6 PM EST","User training, best practices, optimization, retention","success-manager@novabot.com"
"Developer Relations","developers@novabot.com","N/A","Developer community, documentation, and API resources","Monday-Friday 9 AM - 5 PM EST","Documentation, SDKs, developer tools, community support","dev-advocate@novabot.com"
"Partnerships","partners@novabot.com","1-800-668-PART","Technology partnerships and integration partnerships","Monday-Friday 9 AM - 5 PM EST","Technology partners, reseller programs, joint solutions","partnerships-manager@novabot.com"
"Press and Media","press@novabot.com","N/A","Media inquiries, press releases, and company information","Monday-Friday 9 AM - 5 PM EST","Press inquiries, media kits, executive interviews","marketing-director@novabot.com"
"Legal and Compliance","legal@novabot.com","N/A","Legal questions, contracts, and compliance documentation","Monday-Friday 9 AM - 5 PM EST","Contracts, terms of service, legal compliance","general-counsel@novabot.com"
"Human Resources","careers@novabot.com","N/A","Career opportunities and employment questions","Monday-Friday 9 AM - 5 PM EST","Job applications, career opportunities, employee relations","hr-director@novabot.com"
"Executive Team","executive@novabot.com","N/A","Executive escalations and high-priority business issues","By appointment only","Strategic partnerships, major accounts, executive decisions","ceo@novabot.com"
"Data Protection Officer","dpo@novabot.com","N/A","Data privacy questions and GDPR compliance","Monday-Friday 9 AM - 5 PM EST","Data privacy, GDPR requests, data subject rights","privacy-officer@novabot.com"
